Longitude,Latitude,HouseAge,total_rooms,total_bedrooms,population,households,MedInc,ocean_proximity__1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,computed_sqft,RoomsPerHousehold,BedroomsPerHousehold,PopulationPerHousehold,DistToPacific,DistToSF,DistToLA,GeoCluster,BedroomRatio,TARGET
0.750951861,-0.80107189,0.423491677,-0.499865556,-0.394692374,-0.222181536,-0.435338686,-0.343553715,TRUE,FALSE,FALSE,FALSE,FALSE,-0.264684153,-0.502693761,0.082569853,0.612452319,0.753207059,0.778151576,-1.011589675,89,0.38392412,165100
-1.250266471,0.722512369,-0.847152313,-0.846613592,-0.971622274,-0.892308385,-0.941683117,1.742317255,FALSE,FALSE,FALSE,FALSE,TRUE,0.18227402,0.166946921,-0.424454543,-0.042248878,-1.327587828,-1.249368762,0.893585566,45,-0.665719376,273300
-1.618649945,1.559081639,-0.608906565,-0.786048268,-0.875064969,-0.772232955,-0.854655168,-1.132378416,FALSE,TRUE,FALSE,FALSE,FALSE,-0.283948814,-0.042658998,-0.277032582,0.204685637,-1.255122334,-0.978006316,1.66522953,38,-0.388479375,75000
-1.155681525,0.839351652,-0.767737063,-0.215069835,-0.131573716,0.189253393,-0.047668731,0.612696291,TRUE,FALSE,FALSE,FALSE,FALSE,-0.212433215,-0.595393983,-0.244446935,0.503956958,-1.229241801,-1.299495768,0.92660676,19,0.121977177,255100
0.586672744,-0.796398318,1.29705942,-0.277946813,-0.348827653,-0.304291941,-0.303478157,0.455531178,TRUE,FALSE,FALSE,FALSE,FALSE,-0.256186315,-0.049100283,-0.191989938,-0.140514403,0.582395538,0.696447274,-1.013773429,87,-0.303010621,289600
0.113748014,0.259828805,0.344076428,-0.316320262,-0.339171923,-0.016464071,-0.277106052,-0.85330116,FALSE,TRUE,FALSE,FALSE,FALSE,-0.512730339,-0.29015682,-0.23714184,0.675706203,0.090665403,-0.242936646,-0.047720379,69,-0.154304551,51500
1.16413873,-1.137569027,-1.561889557,-0.3214059,-0.121917985,0.495622322,-0.129422259,-0.950115291,TRUE,FALSE,FALSE,FALSE,FALSE,-0.27901577,-0.736722858,-0.020375655,1.590031632,1.182823914,1.220387705,-0.564421532,77,0.533817059,127200
-1.180572301,0.577631657,0.661737425,0.095616405,0.034987636,-0.434079354,-0.182166471,0.460424501,FALSE,FALSE,FALSE,FALSE,TRUE,-0.390187302,0.872611056,0.559282184,-0.833984163,-1.255122334,-1.103415256,0.762296559,88,-0.288783461,294400
0.955056218,-1.020729743,-0.370660817,0.430806173,0.442942252,-0.019112794,0.107926693,0.410438944,TRUE,FALSE,FALSE,FALSE,FALSE,-0.173330044,0.875206318,0.711578737,-0.37038904,0.965427433,1.034759154,-0.752705153,20,-0.174554502,277800
-0.941620858,1.339423786,-0.370660817,-0.76755504,-0.814716653,-0.62478739,-0.783450483,-0.673037458,FALSE,TRUE,FALSE,FALSE,FALSE,-0.143966877,-0.395141107,-0.301034692,0.643245693,-1.006669214,-1.069880685,1.22052596,72,-0.129200892,72300
